symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath,preOpenPrice,buyQty,sellQty
HINDZINC,HINDZINCEQN,,423.0,0.2,0.05,422.8,18726,7921098,154632286709.94,684.0,378.15,423.0,https://nsearchives.nseindia.com/today/preOpen_HINDZINCEQN.svg,422.8,825,0
RVNL,RVNLEQN,,384.9,0.2,0.05,384.7,18330,7055217,217852211539.26,647.0,305.0,384.9,https://nsearchives.nseindia.com/today/preOpen_RVNLEQN.svg,384.65,18,0
ITC,ITCEQN,,417.0,0.15,0.04,416.85,16438,6854646,3869299142633.56,528.5,390.15,417.0,https://nsearchives.nseindia.com/today/preOpen_ITCEQN.svg,416.75,1,0
MANKIND,MANKINDEQN,,2545.0,1.0,0.04,2544.0,1060,2697700,286778535297.86,3054.8,1901.05,2545.0,https://nsearchives.nseindia.com/today/preOpen_MANKINDEQN.svg,2540.8,1,0
CAMS,CAMSEQN,,4189.0,1.1,0.03,4187.9,646,2706094,199813317344.4,5367.5,3031.05,4189.0,https://nsearchives.nseindia.com/today/preOpen_CAMSEQN.svg,4183.0,1,0
CROMPTON,CROMPTONEQN,,343.9,0.1,0.03,343.8,547,188113,220132632655.66,484.0,301.0,343.9,https://nsearchives.nseindia.com/today/preOpen_CROMPTONEQN.svg,342.5,2009,0
DRREDDY,DRREDDYEQN,,1263.0,0.4,0.03,1262.6,1833,2315079,765796717191.14,1421.49,1020.0,1263.0,https://nsearchives.nseindia.com/today/preOpen_DRREDDYEQN.svg,1261.8,50,0
VBL,VBLEQN,,459.9,0.15,0.03,459.75,9179,4221422,615105512127.29,681.12,419.55,459.9,https://nsearchives.nseindia.com/today/preOpen_VBLEQN.svg,459.45,13,0
PIIND,PIINDEQN,,4042.9,1.0,0.02,4041.9,494,1997192,326668637286.01,4804.05,2951.1,4042.9,https://nsearchives.nseindia.com/today/preOpen_PIINDEQN.svg,4040.0,1,0
TORNTPOWER,TORNTPOWEREQN,,1427.0,0.3,0.02,1426.7,745,1063115,270942015467.65,2037.0,1207.25,1427.0,https://nsearchives.nseindia.com/today/preOpen_TORNTPOWEREQN.svg,1420.1,10,0
ATGL,ATGLEQN,,652.0,0.05,0.01,651.95,1797,1171644,180345168102.05,941.9,532.6,652.0,https://nsearchives.nseindia.com/today/preOpen_ATGLEQN.svg,650.0,106,0
AUBANK,AUBANKEQN,,828.3,0.1,0.01,828.2,1653,1369179,464483403411.61,841.0,478.35,828.3,https://nsearchives.nseindia.com/today/preOpen_AUBANKEQN.svg,827.2,50,0
BAJAJ-AUTO,BAJAJ-AUTOEQN,,8285.5,0.5,0.01,8285.0,870,7208385,913866788785.04,12774.0,7089.35,8285.5,https://nsearchives.nseindia.com/today/preOpen_BAJAJ-AUTOEQN.svg,8275.5,10,0
BOSCHLTD,BOSCHLTDEQN,,36200.0,5.0,0.01,36195.0,224,8108800,313761469587.44,39088.8,25921.6,36200.0,https://nsearchives.nseindia.com/today/preOpen_BOSCHLTDEQN.svg,36010.0,1,0
LT,LTEQN,,3575.0,0.3,0.01,3574.7,2159,7718425,4184689748902.23,3963.5,2965.3,3575.0,https://nsearchives.nseindia.com/today/preOpen_LTEQN.svg,3574.0,62,0
LUPIN,LUPINEQN,,1895.0,0.2,0.01,1894.8,1419,2689005,456964960212.46,2402.9,1766.05,1895.0,https://nsearchives.nseindia.com/today/preOpen_LUPINEQN.svg,1892.0,14,0
SOLARINDS,SOLARINDSEQN,,15905.0,1.0,0.01,15904.0,376,5980280,387721421123.3,17820.0,8482.5,15905.0,https://nsearchives.nseindia.com/today/preOpen_SOLARINDSEQN.svg,15890.0,11,0
ZYDUSLIFE,ZYDUSLIFEEQN,,973.0,0.05,0.01,972.95,495,481635,242307005098.76,1324.3,795.0,973.0,https://nsearchives.nseindia.com/today/preOpen_ZYDUSLIFEEQN.svg,970.3,1,0
AARTIIND,AARTIINDEQN,,448.0,0.0,0.0,448.0,1927,863296,91818959327.63,765.5,344.2,448.0,https://nsearchives.nseindia.com/today/preOpen_AARTIINDEQN.svg,447.15,43,0
ABFRL,ABFRLEQN,,77.96,0.0,0.0,77.96,14882,1160200,36418211580.5,364.4,70.55,77.96,https://nsearchives.nseindia.com/today/preOpen_ABFRLEQN.svg,77.52,205,0
ASTRAL,ASTRALEQN,,1491.6,0.0,0.0,1491.6,237,353509,183439889397.3,2369.2,1232.3,1491.6,https://nsearchives.nseindia.com/today/preOpen_ASTRALEQN.svg,1485.5,1,0
BRITANNIA,BRITANNIAEQN,,5878.0,0.0,0.0,5878.0,249,1463622,691859750545.77,6469.9,4506.0,5878.0,https://nsearchives.nseindia.com/today/preOpen_BRITANNIAEQN.svg,5855.0,15,0
BSE,BSEEQN,,2466.4,0.1,0.0,2466.3,17184,42382617,1004493357650.68,3030.0,705.0,2466.4,https://nsearchives.nseindia.com/today/preOpen_BSEEQN.svg,2465.7,5,0
CGPOWER,CGPOWEREQN,,677.3,0.0,0.0,677.3,1958,1326153,445601833768.87,874.7,517.7,677.3,https://nsearchives.nseindia.com/today/preOpen_CGPOWEREQN.svg,675.9,150,0
COALINDIA,COALINDIAEQN,,384.05,0.0,0.0,384.05,10868,4173855,869720050684.32,543.55,349.25,384.05,https://nsearchives.nseindia.com/today/preOpen_COALINDIAEQN.svg,383.85,2,0
COFORGE,COFORGEEQN,,1887.7,0.0,0.0,1887.7,6727,12698557,627115345742.23,2005.36,1110.21,1887.7,https://nsearchives.nseindia.com/today/preOpen_COFORGEEQN.svg,1885.0,25,0
COLPAL,COLPALEQN,,2411.3,0.0,0.0,2411.3,821,1979677,316441859948.11,3890.0,2311.5,2411.3,https://nsearchives.nseindia.com/today/preOpen_COLPALEQN.svg,2407.2,8,0
CONCOR,CONCOREQN,,627.85,0.0,0.0,627.85,6188,3885135,215484055188.17,860.0,481.0,627.85,https://nsearchives.nseindia.com/today/preOpen_CONCOREQN.svg,626.05,120,0
CUMMINSIND,CUMMINSINDEQN,,3519.0,0.1,0.0,3518.9,168,591192,474572586660.48,4056.8,2580.0,3519.0,https://nsearchives.nseindia.com/today/preOpen_CUMMINSINDEQN.svg,3501.0,1,0
DALBHARAT,DALBHARATEQN,,2171.7,0.0,0.0,2171.7,28,60807,172611784565.72,2245.0,1601.0,2171.7,https://nsearchives.nseindia.com/today/preOpen_DALBHARATEQN.svg,2154.0,37,0
DMART,DMARTEQN,,4169.0,0.0,0.0,4169.0,902,3760438,610015686093.12,5484.85,3340.0,4169.0,https://nsearchives.nseindia.com/today/preOpen_DMARTEQN.svg,4155.0,1,0
FEDERALBNK,FEDERALBNKEQN,,210.98,0.0,0.0,210.98,5804,1224527,516858970371.42,220.0,172.66,210.98,https://nsearchives.nseindia.com/today/preOpen_FEDERALBNKEQN.svg,210.75,1,0
GRASIM,GRASIMEQN,,2775.1,0.0,0.0,2775.1,523,1451377,1056978176206.07,2896.0,2276.95,2775.1,https://nsearchives.nseindia.com/today/preOpen_GRASIMEQN.svg,2771.0,501,0
ICICIGI,ICICIGIEQN,,1994.6,0.0,0.0,1994.6,84,167546,477779222533.69,2301.9,1613.7,1994.6,https://nsearchives.nseindia.com/today/preOpen_ICICIGIEQN.svg,1984.6,15,0
IDEA,IDEAEQN,,7.33,0.0,0.0,7.33,1593637,11681359,202367541170.7,17.67,6.29,7.33,https://nsearchives.nseindia.com/today/preOpen_IDEAEQN.svg,7.28,398754,0
INDIANB,INDIANBEQN,,631.25,0.0,0.0,631.25,1113,702581,222031820399.89,658.5,473.9,631.25,https://nsearchives.nseindia.com/today/preOpen_INDIANBEQN.svg,629.5,50,0
JSL,JSLEQN,,681.8,0.0,0.0,681.8,388,264538,219380488341.57,818.3,496.6,681.8,https://nsearchives.nseindia.com/today/preOpen_JSLEQN.svg,677.0,29,0
LICI,LICIEQN,,926.55,0.0,0.0,926.55,4893,4533609,205186550276.62,1222.0,715.3,926.55,https://nsearchives.nseindia.com/today/preOpen_LICIEQN.svg,925.5,1,0
LODHA,LODHAEQN,,1411.8,0.0,0.0,1411.8,1085,1531803,394624638724.6,1595.0,1035.15,1411.8,https://nsearchives.nseindia.com/today/preOpen_LODHAEQN.svg,1408.0,50,0
MANAPPURAM,MANAPPURAMEQN,,265.5,0.0,0.0,265.5,9449,2508709,145042922145.92,284.9,138.35,265.5,https://nsearchives.nseindia.com/today/preOpen_MANAPPURAMEQN.svg,264.1,1000,0
NBCC,NBCCEQN,,113.97,0.0,0.0,113.97,21277,2424939,117628118784.0,139.83,70.8,113.97,https://nsearchives.nseindia.com/today/preOpen_NBCCEQN.svg,113.65,6,0
NHPC,NHPCEQN,,87.52,0.0,0.0,87.52,51629,4518570,276080498965.19,118.4,71.0,87.52,https://nsearchives.nseindia.com/today/preOpen_NHPCEQN.svg,87.35,50,0
PATANJALI,PATANJALIEQN,,1663.6,0.0,0.0,1663.6,161,267839,184374655369.1,2011.0,1541.05,1663.6,https://nsearchives.nseindia.com/today/preOpen_PATANJALIEQN.svg,1657.1,2,0
PAYTM,PAYTMEQN,,940.55,0.0,0.0,940.55,11098,10438223,320998858478.16,1062.95,425.6,940.55,https://nsearchives.nseindia.com/today/preOpen_PAYTMEQN.svg,939.05,15,0
POWERGRID,POWERGRIDEQN,,299.25,0.0,0.0,299.25,22746,6806740,1350753659734.14,366.25,247.3,299.25,https://nsearchives.nseindia.com/today/preOpen_POWERGRIDEQN.svg,298.6,95,0
PRESTIGE,PRESTIGEEQN,,1696.5,0.0,0.0,1696.5,1354,2297061,285046512376.0,1972.0,1048.05,1696.5,https://nsearchives.nseindia.com/today/preOpen_PRESTIGEEQN.svg,1694.4,40,0
TATACOMM,TATACOMMEQN,,1753.4,0.0,0.0,1753.4,62,108710,205306179885.0,2175.0,1291.0,1753.4,https://nsearchives.nseindia.com/today/preOpen_TATACOMMEQN.svg,1747.0,5,0
ULTRACEMCO,ULTRACEMCOEQN,,12516.0,0.0,0.0,12516.0,226,2828616,1478330519982.86,12667.0,10047.85,12516.0,https://nsearchives.nseindia.com/today/preOpen_ULTRACEMCOEQN.svg,12470.0,6,0
UNIONBANK,UNIONBANKEQN,,143.86,0.0,0.0,143.86,29037,4177262,277414352512.51,158.65,100.81,143.86,https://nsearchives.nseindia.com/today/preOpen_UNIONBANKEQN.svg,143.6,102,0
YESBANK,YESBANKEQN,,19.81,0.0,0.0,19.81,217428,4307248,372827170903.23,27.2,16.02,19.81,https://nsearchives.nseindia.com/today/preOpen_YESBANKEQN.svg,19.77,5095,0
BANDHANBNK,BANDHANBNKEQN,,178.24,-0.02,-0.01,178.26,8627,1537676,150336234925.79,222.31,128.16,178.24,https://nsearchives.nseindia.com/today/preOpen_BANDHANBNKEQN.svg,177.9,28,0
CANBK,CANBKEQN,,112.38,-0.01,-0.01,112.39,41054,4613648,377222574458.17,119.3,78.6,112.38,https://nsearchives.nseindia.com/today/preOpen_CANBKEQN.svg,112.2,4057,0
FORTIS,FORTISEQN,,773.4,-0.05,-0.01,773.45,3584,2771865,401543879697.97,813.0,456.55,773.4,https://nsearchives.nseindia.com/today/preOpen_FORTISEQN.svg,770.8,30,0
KFINTECH,KFINTECHEQN,,1291.8,-0.1,-0.01,1291.9,1180,1524324,149304835989.7,1641.35,699.0,1291.8,https://nsearchives.nseindia.com/today/preOpen_KFINTECHEQN.svg,1288.3,1,0
NAUKRI,NAUKRIEQN,,1420.0,-0.1,-0.01,1420.1,3914,5557880,549498797582.37,1825.78,1157.0,1420.0,https://nsearchives.nseindia.com/today/preOpen_NAUKRIEQN.svg,1413.0,2,0
TATASTEEL,TATASTEELEQN,,160.64,-0.02,-0.01,160.66,60845,9774140,1324660272923.9,172.89,122.62,160.64,https://nsearchives.nseindia.com/today/preOpen_TATASTEELEQN.svg,160.5,2241,0
TORNTPHARM,TORNTPHARMEQN,,3339.1,-0.3,-0.01,3339.4,185,617733,348362283988.71,3590.7,2870.0,3339.1,https://nsearchives.nseindia.com/today/preOpen_TORNTPHARMEQN.svg,3312.5,30,0
ONGC,ONGCEQN,,243.05,-0.04,-0.02,243.09,21796,5297517,941289400203.32,345.0,205.0,243.05,https://nsearchives.nseindia.com/today/preOpen_ONGCEQN.svg,242.75,25,0
PETRONET,PETRONETEQN,,305.0,-0.05,-0.02,305.05,8445,2575725,228412482200.2,384.2,269.6,305.0,https://nsearchives.nseindia.com/today/preOpen_PETRONETEQN.svg,304.1,100,0
PNB,PNBEQN,,109.74,-0.02,-0.02,109.76,34383,3773190,377197665955.27,128.8,85.46,109.74,https://nsearchives.nseindia.com/today/preOpen_PNBEQN.svg,109.55,21,0
PPLPHARMA,PPLPHARMAEQN,,200.6,-0.04,-0.02,200.64,10942,2194965,124010636772.49,307.9,145.25,200.6,https://nsearchives.nseindia.com/today/preOpen_PPLPHARMAEQN.svg,200.01,250,0
JSWSTEEL,JSWSTEELEQN,,1043.0,-0.3,-0.03,1043.3,1843,1922249,987095410143.31,1074.9,854.15,1043.0,https://nsearchives.nseindia.com/today/preOpen_JSWSTEELEQN.svg,1037.2,1,0
PNBHOUSING,PNBHOUSINGEQN,,1083.9,-0.4,-0.04,1084.3,1810,1961859,173286086865.57,1202.2,741.25,1083.9,https://nsearchives.nseindia.com/today/preOpen_PNBHOUSINGEQN.svg,1078.0,25,0
AMBUJACEM,AMBUJACEMEQN,,585.1,-0.3,-0.05,585.4,2168,1268496,381063527685.28,695.0,453.05,585.1,https://nsearchives.nseindia.com/today/preOpen_AMBUJACEMEQN.svg,583.25,418,0
APOLLOHOSP,APOLLOHOSPEQN,,7355.0,-4.0,-0.05,7359.0,802,5898710,740809853058.41,7635.0,6001.0,7355.0,https://nsearchives.nseindia.com/today/preOpen_APOLLOHOSPEQN.svg,7347.0,1,0
INDUSTOWER,INDUSTOWEREQN,,402.0,-0.2,-0.05,402.2,9088,3653376,530506572502.88,460.35,312.75,402.0,https://nsearchives.nseindia.com/today/preOpen_INDUSTOWEREQN.svg,400.3,50,0
JINDALSTEL,JINDALSTELEQN,,944.0,-0.55,-0.06,944.55,1222,1153568,348087182181.02,1073.7,723.35,944.0,https://nsearchives.nseindia.com/today/preOpen_JINDALSTELEQN.svg,941.0,55,0
SBIN,SBINEQN,,807.55,-0.45,-0.06,808.0,26296,21235334,3094135051261.72,899.0,680.0,807.55,https://nsearchives.nseindia.com/today/preOpen_SBINEQN.svg,807.05,25,0
UNOMINDA,UNOMINDAEQN,,1097.9,-0.7,-0.06,1098.6,754,827816,195288898639.04,1255.0,767.6,1097.9,https://nsearchives.nseindia.com/today/preOpen_UNOMINDAEQN.svg,1092.0,1,0
MARUTI,MARUTIEQN,,12640.0,-10.0,-0.08,12650.0,408,5157120,1654820565782.95,13680.0,10725.0,12640.0,https://nsearchives.nseindia.com/today/preOpen_MARUTIEQN.svg,12615.0,1,0
MOTHERSON,MOTHERSONEQN,,153.4,-0.13,-0.08,153.53,24721,3792201,451044000395.2,216.99,107.25,153.4,https://nsearchives.nseindia.com/today/preOpen_MOTHERSONEQN.svg,153.16,2100,0
SRF,SRFEQN,,3256.9,-2.7,-0.08,3259.6,165,537388,471281385266.52,3325.0,2126.85,3256.9,https://nsearchives.nseindia.com/today/preOpen_SRFEQN.svg,3233.5,25,0
IRFC,IRFCEQN,,137.0,-0.13,-0.09,137.13,45104,6179248,244500295066.82,229.0,108.04,137.0,https://nsearchives.nseindia.com/today/preOpen_IRFCEQN.svg,136.86,1,0
KOTAKBANK,KOTAKBANKEQN,,2201.8,-2.0,-0.09,2203.8,3913,8615643,3250584797239.27,2301.9,1679.05,2201.8,https://nsearchives.nseindia.com/today/preOpen_KOTAKBANKEQN.svg,2195.6,2,0
LICHSGFIN,LICHSGFINEQN,,604.95,-0.55,-0.09,605.5,1277,772521,181562046925.25,826.75,483.7,604.95,https://nsearchives.nseindia.com/today/preOpen_LICHSGFINEQN.svg,603.65,50,0
BDL,BDLEQN,,1891.0,-1.8,-0.1,1892.8,6222,11765802,173709991546.88,2096.6,890.0,1891.0,https://nsearchives.nseindia.com/today/preOpen_BDLEQN.svg,1890.0,1606,0
INDUSINDBK,INDUSINDBKEQN,,852.0,-0.85,-0.1,852.85,3317,2826084,560812413674.63,1498.0,606.0,852.0,https://nsearchives.nseindia.com/today/preOpen_INDUSINDBKEQN.svg,850.0,1147,0
360ONE,360ONEEQN,,1193.0,-1.4,-0.12,1194.4,178,212354,270130381693.65,1318.0,790.5,1193.0,https://nsearchives.nseindia.com/today/preOpen_360ONEEQN.svg,1185.0,51,0
ACC,ACCEQN,,1999.0,-2.5,-0.12,2001.5,393,785607,130289696965.02,2744.25,1778.45,1999.0,https://nsearchives.nseindia.com/today/preOpen_ACCEQN.svg,1990.5,16,0
BAJAJFINSV,BAJAJFINSVEQN,,2037.0,-2.4,-0.12,2039.4,1524,3104388,1103521231982.93,2135.0,1523.25,2037.0,https://nsearchives.nseindia.com/today/preOpen_BAJAJFINSVEQN.svg,2031.5,500,0
CHAMBLFERT,CHAMBLFERTEQN,,550.0,-0.65,-0.12,550.65,2827,1554850,83670855073.97,742.2,443.2,550.0,https://nsearchives.nseindia.com/today/preOpen_CHAMBLFERTEQN.svg,548.05,20,0
IRB,IRBEQN,,48.21,-0.06,-0.12,48.27,14786,712833,95616098871.48,72.0,40.96,48.21,https://nsearchives.nseindia.com/today/preOpen_IRBEQN.svg,48.17,300,0
LTF,LTFEQN,,206.5,-0.27,-0.13,206.77,15253,3149744,165996710286.26,211.2,129.2,206.5,https://nsearchives.nseindia.com/today/preOpen_LTFEQN.svg,206.25,20000,0
HDFCAMC,HDFCAMCEQN,,5200.0,-7.5,-0.14,5207.5,539,2802800,526514575505.82,5278.9,3563.05,5200.0,https://nsearchives.nseindia.com/today/preOpen_HDFCAMCEQN.svg,5182.0,1,0
